COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
RIPK2	2.6185181767853845	0.008831258650151622	2.27036	0.86704	0.00883121	NA	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TMEM209	2.617208773173188	0.008865210099146531	0.280659	0.107236	0.00886499	NA	NA	NA	11.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NRBF2	2.6088576077793246	0.009084503536973893	2.26219	0.867119	0.00908438	NA	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LIPN	2.6050158665976895	0.009187000545331126	1.31428	0.504519	0.0091867	NA	NA	NA	9.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RASAL3	2.575022256136335	0.01002336366983348	0.303711	0.117945	0.0100234	NA	NA	NA	22.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CPLX3	2.5623940285483773	0.010395330601555607	2.22003	0.866389	0.0103954	NA	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
INSM2	2.5594514457492727	0.010483749965752099	1.62109	0.633374	0.0104838	NA	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
AOAH	-2.5551026064462485	0.010615650008020363	-0.442508	0.173186	0.0106156	NA	NA	NA	17.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PHKB	-2.5530544274824796	0.010678280825211967	-0.323878	0.210575	0.124033	-0.902617	0.435521	0.038219	35.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MODERATE_HIGH_IMPACT_SNPEFF; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
GBA	7.371358791128334	1.688976033445199e-13	0.908954	0.114241	1.77078e-15	0.87011	0.352526	0.013579	99.0	15.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
P2RY10	3.80248542646685	0.00014325169571286064	1.33133	0.350121	0.000143249	NA	NA	NA	22.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TUBA1B	3.7595917366743725	0.00017019086337045642	1.42625	0.379363	0.000170194	NA	NA	NA	18.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ENDOU	-3.7551112107129954	0.0001732645272372315	-0.457218	0.175325	0.00911182	-1.25106	0.462893	0.00687814	81.0	15.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MET	-3.7167891914249624	0.00020177066154024076	-0.34234	0.11358	0.00257763	-0.531186	0.236899	0.0249452	224.0	25.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NOP53	3.698563948946083	0.0002168227257923425	0.239422	0.087552	0.00624516	0.554177	0.222032	0.0125628	146.0	28.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IPO4	-3.5462106893971987	0.00039081360934782665	-0.41386	0.120646	0.000602789	-0.487234	0.307455	0.113028	236.0	28.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
XKR7	-3.5105848823565853	0.00044712203211166683	-0.235395	0.159613	0.140271	-1.3902	0.398346	0.000483158	108.0	13.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPS20	3.4300553389614272	0.0006034581616257595	1.25019	0.364481	0.000603457	NA	NA	NA	19.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LIG3	3.3806718558643145	0.0007230884084505906	0.234026	0.109703	0.032903	0.737653	0.278599	0.00810369	179.0	15.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CFAP52	-3.3721404732950204	0.0007458639587147538	-0.374287	0.159815	0.0191807	-0.852688	0.351345	0.0152275	103.0	13.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MOB1A	3.371369653316915	0.0007479542379354119	0.799463	0.237133	0.000747936	NA	NA	NA	17.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LBX2	3.369267298602268	0.0007536830061057918	0.342745	0.107123	0.00137648	0.426203	0.272279	0.117509	66.0	15.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MYH14	-3.3645160927976043	0.0007667801245808797	-0.241336	0.0725598	0.000880953	-0.228093	0.15927	0.152112	469.0	58.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TRMT12	3.358348888032652	0.0007840957925243693	0.380967	0.145438	0.00880742	0.78984	0.370821	0.0331734	70.0	10.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IRX6	3.3488117069311607	0.0008115893117699614	0.356555	0.11117	0.00133983	0.541059	0.353948	0.126354	121.0	13.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ATP6V0E1	3.3407038666357955	0.0008356630376887669	1.73142	0.51828	0.000835681	NA	NA	NA	11.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZFP42	3.3212155066343936	0.0008962630333685664	0.338651	0.132444	0.0105599	0.782598	0.365705	0.0323569	64.0	8.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF567	3.31437529663644	0.0009184813874030685	0.552952	0.146385	0.000158483	0.391739	0.430552	0.3629	86.0	7.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNHIT6	3.285957984652437	0.0010163616881020622	0.347662	0.15961	0.0293913	0.946826	0.383509	0.0135548	74.0	12.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CELA3B	-3.2450578170444846	0.0011742677909497537	-0.737643	0.191801	0.00012012	-0.271091	0.364699	0.457284	68.0	9.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SNRNP35	3.219404921596328	0.001284569517761655	0.360592	0.138482	0.00921727	0.831515	0.426629	0.0512912	68.0	8.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LOC101928123	3.216834447416954	0.00129613366709548	0.88259	0.274366	0.00129614	NA	NA	NA	12.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SYK	-3.2097552455295837	0.001328480389107033	-0.428704	0.188676	0.0230761	-1.22087	0.538514	0.0233839	83.0	8.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MODERATE_HIGH_IMPACT_SNPEFF; MAF: 0.01; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
GBA	8.76619854705797	1.8480000856895576e-18	0.549558	0.0685098	1.04386e-15	0.567902	0.129786	1.21058e-05	101.0	17.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
P2RY10	3.80248542646685	0.00014325169571286064	1.33133	0.350121	0.000143249	NA	NA	NA	22.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TUBA1B	3.7595917366743725	0.00017019086337045642	1.42625	0.379363	0.000170194	NA	NA	NA	18.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IPO4	-3.6690332874834004	0.00024346937965916252	-0.284554	0.0969876	0.00334706	-0.399618	0.177224	0.0241416	237.0	31.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KBTBD13	-3.600408581406301	0.00031771752438703	-0.186484	0.0703107	0.00799485	-0.439713	0.18025	0.0147093	154.0	16.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
INSM2	3.5471760400951706	0.00038938431102844464	0.23971	0.0910846	0.00849509	0.572222	0.239952	0.0170913	105.0	14.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
XKR7	-3.4566946951572075	0.0005468440178711107	-0.175907	0.125776	0.161941	-1.3902	0.398346	0.000483158	109.0	13.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPS20	3.4300553389614272	0.0006034581616257595	1.25019	0.364481	0.000603457	NA	NA	NA	19.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DCDC2C	3.4147575506576766	0.0006383880795531865	0.111015	0.13504	0.411024	0.631512	0.157598	6.14667e-05	76.0	11.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FLNC	3.406315143054225	0.0006584612464350341	0.154297	0.0444123	0.000512389	0.114097	0.0849529	0.179252	528.0	85.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PHF23	3.3931077129353477	0.0006910445932623431	0.240211	0.121722	0.0484452	0.783414	0.277301	0.00472608	72.0	10.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MOB1A	3.371369653316915	0.0007479542379354119	0.799463	0.237133	0.000747936	NA	NA	NA	17.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TRMT12	3.358348888032652	0.0007840957925243693	0.380967	0.145438	0.00880742	0.78984	0.370821	0.0331734	70.0	10.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
HYDIN	-3.357600092898761	0.000786222719013324	-0.0960211	0.0388055	0.0133452	-0.17971	0.0790301	0.0229692	665.0	83.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IRX6	3.3488117069311607	0.0008115893117699614	0.356555	0.11117	0.00133983	0.541059	0.353948	0.126354	121.0	13.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TESPA1	3.323495810664356	0.0008889675800544644	0.240324	0.0757658	0.00151431	0.201996	0.132179	0.126464	95.0	18.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PRG2	-3.2914158839835355	0.0009968442327575155	-0.397421	0.157912	0.011845	-0.625813	0.292704	0.0325134	52.0	12.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SBK1	3.2898664474141226	0.0010023494521903644	0.317304	0.0964489	0.00100234	NA	NA	NA	74.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CAVIN1	-3.2692788079601	0.0010782200147340618	-0.227574	0.0997477	0.0225192	-0.476505	0.203464	0.0191828	70.0	11.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
STIMATE	3.23108432534636	0.001233215516677579	0.390713	0.134198	0.0035973	0.24453	0.147487	0.0973217	44.0	6.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LOC101928123	3.216834447416954	0.00129613366709548	0.88259	0.274366	0.00129614	NA	NA	NA	12.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KLHL8	3.2063924844148475	0.0013441052257332428	0.258903	0.109557	0.0181186	0.619343	0.285235	0.0299051	87.0	9.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TMEM209	3.1857457738504573	0.0014438140981361822	0.122252	0.0758921	0.107208	0.476344	0.164571	0.00379818	109.0	18.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SLC38A5	3.182148860876034	0.0014618666050575828	0.77422	0.243301	0.00146187	NA	NA	NA	41.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE_and_CADD_20_VEP; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
GBA	7.03305924736227	2.0205351578887175e-12	1.02295	0.136435	6.49434e-14	1.4764	0.602972	0.0143439	76.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TREML1	4.252300914227647	2.115852895874729e-05	1.247	0.293253	2.11602e-05	NA	NA	NA	22.0	NA	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
XKR7	-3.8947858225955003	9.828553555353588e-05	-0.29127	0.159005	0.0669764	-1.5264	0.415208	0.000236693	104.0	13.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MRPL42	3.819807466278614	0.00013355588352816224	0.818982	0.214404	0.00013356	NA	NA	NA	28.0	NA	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
STAP2	3.722191244180043	0.0001975013404763311	0.666634	0.189861	0.000446145	1.08744	0.6204	0.0796348	62.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MET	-3.626127443732415	0.0002877034037725673	-0.377712	0.139663	0.00684168	-0.68264	0.281656	0.0153646	144.0	18.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SLC25A4	3.4810799398469503	0.0004993964208630959	0.939815	0.269978	0.0004994	NA	NA	NA	33.0	NA	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SORCS3	-3.4772501116161183	0.0005065850179207817	-0.247235	0.105918	0.0195842	-0.720921	0.279063	0.00978415	188.0	24.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MON1B	-3.437642521310193	0.0005868018226598736	-0.403825	0.186151	0.0300571	-0.830399	0.308444	0.00709782	111.0	16.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SNRNP35	3.4354680037700733	0.0005915313101291215	0.412681	0.149484	0.00576761	0.921285	0.439171	0.0359247	62.0	7.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CDKN2C	3.4246700159925596	0.0006155465667109576	1.08998	0.318273	0.000615585	NA	NA	NA	26.0	NA	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CFAP52	-3.3744743515754325	0.0007395680739095103	-0.447446	0.194679	0.0215405	-1.31445	0.531338	0.0133666	82.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ENDOU	-3.360562009687675	0.0007778406770711136	-0.64332	0.230131	0.00518271	-1.02739	0.524955	0.0503348	55.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SERINC1	-3.3132849421514625	0.0009220698800887786	-0.478117	0.194246	0.0138393	-0.838167	0.376824	0.0261287	66.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CGN	3.3057382431823688	0.0009472653521585187	0.19548	0.084986	0.0214398	0.503982	0.212214	0.0175547	226.0	30.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KIF2C	3.3050205571748594	0.0009496943397190088	0.305421	0.137709	0.0265632	1.25053	0.509146	0.0140444	92.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RAB11FIP2	-3.2957090029622425	0.0009817364774622184	-0.30071	0.164253	0.0671348	-1.13541	0.401196	0.00465395	86.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZC3H4	3.225114817729807	0.0012592215598254998	0.237956	0.068978	0.000561125	0.321633	0.28943	0.266455	342.0	22.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ABHD8	3.2231949674564917	0.0012676923617622416	0.318569	0.214511	0.137518	1.56943	0.510684	0.00211787	57.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
INSM2	3.222815464564999	0.0012693730268632027	0.553853	0.168622	0.00102131	0.578188	0.454134	0.202959	66.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PRB1	3.1975050981391795	0.0013862196097160604	0.602103	0.188304	0.00138626	NA	NA	NA	28.0	NA	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LRRC9	3.192213951315616	0.001411867106827396	NA	NA	NA	0.628681	0.196942	0.00141187	NA	29.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DGKB	-3.1816390305684887	0.001464442152589618	-0.364674	0.202416	0.0716074	-1.3481	0.499683	0.00697771	91.0	9.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ATP1A1-AS1	3.1746288051466673	0.0015002828776575232	0.745133	0.234715	0.00150027	NA	NA	NA	51.0	NA	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE_and_CADD_20_VEP; MAF: 0.01; NUMVAR >= 4
