gene_name	Coordinates
RNF44	5:176526711-176538025
RNF5	6:32178404-32180793
RNF5P1	8:38600660-38601200
RNF6	13:26132114-26222314
RNF7	3:141738248-141747560
RNF8	6:37353978-37394734
RNFT1	17:59952239-59964761
RNFT1-DT	17:59964831-59996972
RNFT2	12:116738177-116853631
RNGTT	6:88609896-88963618
RNLS	10:88273863-88584530
RNMT	18:13726659-13764558
RNPC3	1:103525690-103555239
RNPEP	1:201982371-202006147
RNPEPL1	2:240565803-240581372
RNPS1	16:2253115-2268397
RNU105B	20:8831185-8831393
RNU105C	8:54330686-54330895
RNU11	1:28648599-28648733
RNU1-1	1:16514121-16514285
RNU12	22:42615243-42615393
RNU1-2	1:16895979-16896143
RNU1-3	1:16666784-16666948
RNU1-4	1:16740515-16740679
RNU2-1	17:43233786-43233977
RNU4-1	12:120293096-120293237
RNU4-2	12:120291762-120291903
RNU4ATAC	2:121530880-121531007
RNU5A-1	15:65296050-65296166
RNU5B-1	15:65304676-65304792
RNU5D-1	1:44731054-44731170
RNU5E-1	1:11908151-11908271
RNU5F-1	1:44721785-44721902
RNU6-1	15:67839938-67840045
RNU6-2	19:1021521-1021628
RNU6-7	14:32202044-32202151
RNU6-8	14:32203162-32203269
RNU6-9	19:893483-893590
RNU6ATAC	9:134164438-134164564
RNU6ATAC35P	1:220825619-220826063
RNU7-1	12:6943815-6943878
RNVU1-1	1:148362369-148362533
RNVU1-14	1:145281115-145281279
RNVU1-15	1:144412575-144412740
RNVU1-17	1:143699455-143699619
RNVU1-18	1:143729406-143729570
RNVU1-19	1:120850818-120850985
RNVU1-20	1:120942599-120942762
RNVU1-2A	1:144551778-144551943
RNVU1-3	1:148402714-148402875
RNVU1-4	1:120942599-120942763
RNVU1-6	1:146052080-146052244
RNVU1-7	1:148038752-148038916
RNVU1-8	1:147084615-147084756
RNY1	7:148987135-148987248
RNY3	7:148983754-148983856
RNY4	7:148963314-148963410
RNY5	7:148941487-148941571
RO60	1:193059421-193091777
ROBO1	3:78597238-79767998
ROBO2	3:75906694-77649964
ROBO3	11:124865431-124881471
ROBO4	11:124883690-124898500
ROCK1	18:20946905-21111813
ROCK1P1	18:109064-122219
ROCK2	2:11179758-11348330
ROCR	17:72021850-72034092
ROGDI	16:4796967-4802880
ROM1	11:62611721-62615120
ROMO1	20:35699271-35700984
ROPN1	3:123968520-123992178
ROPN1B	3:125969159-125983454
ROPN1L	5:10441523-10472029
ROPN1L-AS1	5:10441289-10441792
ROR1	1:63774016-64181498
ROR1-AS1	1:64094441-64171297
ROR2	9:91563090-91950228
RORA	15:60488283-61229302
RORA-AS1	15:60479151-60630637
RORA-AS2	15:60681563-60687248
RORB	9:74497334-74693177
RORB-AS1	9:74485550-74499127
RORC	1:151806070-151831845
ROS1	6:117288299-117425855
RP1	8:54509421-54871720
RP2	X:46837042-46882358
RP9	7:33094796-33109404
RP9P	7:32916814-32943176
RPA1	17:1829701-1900082
RPA2	1:27891523-27914746
RPA3	7:7636517-7718607
RPA4	X:96883907-96885467
RPAIN	17:5419640-5432876
RPAP1	15:41517175-41544269
RPAP2	1:92299058-92402056
RPAP3	12:47661248-47706030
RPARP-AS1	10:102449815-102461106
RPE	2:210002564-210022260
RPE65	1:68428821-68449954
RPEL1	10:103245886-103248016
RPF1	1:84479258-84498352
RPF2	6:110982014-111028263
RPGR	X:38269162-38327544
RPGRIP1	14:21287938-21351301
RPGRIP1L	16:53598152-53703938
RPH3A	12:112570379-112898881
RPH3AL	17:212388-386254
RPIA	2:88691672-88750929
RPL10	X:154389954-154409168
RPL10A	6:35468400-35470785
RPL10L	14:46651009-46651781
RPL11	1:23691741-23696835
RPL12	9:127447673-127451406
RPL13	16:89560656-89566828
RPL13A	19:49487553-49492308
RPL13AP17	7:78347141-78359458
RPL13AP20	12:12875498-12876107
RPL13AP3	14:55766176-55767717
RPL13AP5	10:96750287-96750899
RPL13AP6	10:110936621-110937233
RPL13P5	12:6873388-6884741
RPL14	3:40457291-40468587
RPL15	3:23916590-23924374
RPL17	18:49488452-49492523
RPL17-C18orf32	18:49481680-49492479
RPL18	19:48615327-48619184
RPL18A	19:17859909-17864153
RPL19	17:39200282-39204732
RPL19P12	7:103141269-103142403
RPL21	13:27251308-27256691
RPL21P28	1:212051523-212052006
RPL21P44	4:53986586-53987058
RPL22	1:6185019-6209389
RPL22L1	3:170864874-170870208
RPL23	17:38847859-38853764
RPL23A	17:28719984-28724359
RPL23AP32	2:54529342-54529801
RPL23AP53	8:213185-232231
RPL23AP64	11:119003011-119003446
RPL23AP7	2:113610501-113627090
RPL23AP82	22:50756947-50801309
RPL23AP87	17:83226896-83240804
RPL23P8	7:20827325-20827753
RPL24	3:101681090-101686718
RPL26	17:8377515-8383213
RPL26L1	5:172958728-172969771
RPL27	17:42998272-43002959
RPL27A	11:8682787-8714759
RPL28	19:55385931-55403250
RPL29	3:51993521-51995895
RPL29P2	17:7754319-7754976
RPL3	22:39312881-39320389
RPL30	8:98024850-98046469
RPL31	2:101002228-101024032
RPL31P11	1:161683694-161685252
RPL32	3:12834484-12841582
RPL32P3	3:129382921-129399655
RPL34	4:108620565-108630412
RPL34-DT	4:108538190-108620460
RPL35	9:124857879-124861981
RPL35A	3:197950189-197956610
RPL36	19:5674946-5691875
RPL36A	X:101390823-101396155
RPL36A-HNRNPH2	X:101391010-101412297
RPL36AL	14:49618529-49620626
RPL37	5:40825261-40835222
RPL37A	2:216498824-216579180
RPL38	17:74203581-74210655
RPL39	X:119786503-119791630
RPL39L	3:187120947-187180908
RPL3L	16:1943973-1957606
RPL4	15:66498014-66524532
RPL41	12:56116589-56117967
RPL5	1:92832012-92841924
RPL6	12:112405189-112418838
RPL7	8:73290241-73295789
RPL7A	9:133348217-133351426
RPL7L1	6:42879615-42889925
RPL8	8:144789764-144792587
RPL9	4:39452520-39458949
RPLP0	12:120196698-120201235
RPLP0P2	11:61615035-61639449
RPLP1	15:69452813-69456205
RPLP2	11:809964-812880
RPN1	3:128619968-128681075
RPN2	20:37178409-37241619
RPP14	3:58306246-58324695
RPP25	15:74954417-74956772
RPP25L	9:34610485-34612104
RPP30	10:90871715-90908553
RPP38	10:15097179-15139818
RPP38-DT	10:15095384-15097319
RPP40	6:4994716-5004063
RPPH1	14:20343074-20343407
RPRD1A	18:35984386-36067576
RPRD1B	20:38033724-38127780
RPRD2	1:150363090-150476566
RPRM	2:153477337-153478762
RPRML	17:46978155-46979253
RPS10	6:34417453-34426069
RPS10-NUDT3	6:34284886-34426071
RPS10P7	1:201518702-201584367
RPS11	19:49496364-49499708
RPS12	6:132814568-132817564
RPS13	11:17074387-17077715
RPS14	5:150442634-150449739
RPS14P3	1:19607806-19608644
RPS15	19:1438357-1440494
RPS15A	16:18781294-18790383
RPS15AP10	1:45645815-45646197
RPS16	19:39433136-39435949
RPS16P5	6:53336942-53337346
RPS18	6:33272074-33276511
RPS18P9	6:149592686-149601878
RPS19	19:41860254-41872925
RPS19BP1	22:39529092-39532761
RPS2	16:1962057-1964841
RPS20	8:56067294-56074581
RPS21	20:62387102-62388520
RPS23	5:82273319-82278396
RPS24	10:78033759-78056813
RPS25	11:119015711-119018691
RPS26	12:56041350-56044697
RPS26P11	X:72044544-72044892
RPS27	1:153990761-153992155
RPS27A	2:55231902-55235853
RPS27L	15:63125871-63158021
RPS28	19:8321157-8323340
RPS29	14:49570983-49599164
RPS2P32	7:23490472-23491364
RPS3	11:75399514-75422280
RPS3A	4:151099623-151104642
RPS4X	X:72255678-72277248
RPS4Y1	Y:2841601-2932000
RPS4Y2	Y:20756107-20781032
RPS5	19:58386399-58394806
RPS6	9:19375714-19380236
RPS6KA1	1:26529760-26575030
RPS6KA2	6:166409363-166906451
RPS6KA2-AS1	6:166903697-166904835
RPS6KA2-IT1	6:166460662-166465383
RPS6KA3	X:20149910-20267519
RPS6KA4	11:64359147-64372215
RPS6KA5	14:90847860-91060641
RPS6KA6	X:84058345-84188199
RPS6KB1	17:59893045-59950574
RPS6KB2	11:67428459-67435401
RPS6KC1	1:213051232-213274774
RPS6KL1	14:74903950-74923302
RPS7	2:3575259-3580920
RPS7P5	1:240012645-240013226
RPS8	1:44775250-44778779
RPSA	3:39406715-39412542
RPSAP52	12:65758019-65826997
RPSAP58	19:23827161-23828049
RPSAP9	9:76398698-76399586
RPTN	1:152153594-152159228
RPTOR	17:80544818-80966371
RPUSD1	16:784973-788397
RPUSD2	15:40569298-40574949
RPUSD3	3:9837848-9844602
RPUSD4	11:126202095-126211692
RRAD	16:66921678-66925536
RRAGA	9:19049426-19051025
RRAGB	X:55717738-55758774
RRAGC	1:38838197-38859772
RRAGD	6:89364615-89412273
RRAS	19:49635291-49640143
RRAS2	11:14277921-14364506
RRBP1	20:17613677-17682295
RREB1	6:7107596-7251980
RRH	4:109827971-109849123
RRM1	11:4094706-4138932
RRM2	2:10120697-10211725
RRM2B	8:102204501-102238961
RRN3P2	16:29074975-29116718
RRN3P3	16:22418671-22437715
RRNAD1	1:156728441-156736960
RRP1	21:43789512-43805293
RRP12	10:97356357-97426076
RRP15	1:218285292-218337983
RRP1B	21:43659559-43696079
RRP36	6:43021622-43034156
RRP7A	22:42508343-42519796
RRP7BP	22:42555222-42582038
RRP8	11:6595071-6603616
RRP9	3:51933428-51941904
RRS1	8:66429013-66430733
RRS1-AS1	8:66419588-66428977
RS1	X:18639687-18672108
RSAD1	17:50478859-50485974
RSAD2	2:6865805-6898239
RSBN1	1:113761831-113812476
RSBN1L	7:77696458-77783022
RSC1A1	1:15659868-15661722
RSF1	11:77659995-77821017
RSKR	17:28601826-28614197
RSL1D1	16:11833849-11851580
RSL24D1	15:55180805-55197049
RSPH1	21:42472485-42496246
RSPH10B	7:5925549-5970683
RSPH10B2	7:6754108-6799365
RSPH14	22:23059414-23145021
RSPH3	6:158972870-159000202
RSPH4A	6:116616478-116632985
RSPH6A	19:45795712-45815308
RSPH9	6:43645035-43672600
RSPO1	1:37611349-37634892
RSPO2	8:107899315-108083642
RSPO3	6:127118670-127199481
RSPO4	20:958451-1002311
RSPRY1	16:57186136-57240469
RSRC1	3:158105854-158545730
RSRC2	12:122503453-122527000
RSRP1	1:25242248-25338213
RSU1	10:16590610-16817463
RSU1P2	10:45099486-45154606
RTBDN	19:12825477-12835428
RTCA	1:100266206-100292769
RTCA-AS1	1:100251527-100266179
RTCB	22:32387581-32412248
RTEL1	20:63657809-63696253
RTEL1-TNFRSF6B	20:63659299-63698684
RTF1	15:41408407-41483563
RTF2	20:56468584-56519449
RTKN	2:74425834-74442422
RTKN2	10:62183034-62268844
RTL1	14:100879752-100903722
RTL10	22:19846137-19854896
RTL3	X:78656067-78659328
RTL4	X:112454499-112457112
RTL5	X:72127109-72131901
RTL6	22:44492582-44498233
RTL8A	X:135050931-135052196
RTL8B	X:135020512-135022542
RTL8C	X:135032354-135033546
RTL9	X:110358815-110456334
RTN1	14:59595975-59870776
RTN2	19:45485293-45497055
RTN3	11:63681445-63759891
RTN4	2:54972186-55112621
RTN4IP1	6:106570770-106629498
RTN4R	22:20241414-20283246
RTN4RL1	17:1934676-2025334
RTN4RL2	11:57460527-57477534
RTP1	3:187197485-187201462
RTP2	3:187698258-187702557
RTP3	3:46497975-46500950
RTP4	3:187368384-187372076
RTP5	2:241869599-241873823
RTRAF	14:51989513-52010694
RTTN	18:70003030-70205726
RUBCN	3:197668866-197749727
RUBCNL	13:46341999-46438190
RUFY1-AS1	5:179595904-179603741
RUFY2	10:68341106-68407294
RUFY3	4:70704203-70808619
RUFY4	2:218034959-218090581
RUNDC1	17:42980564-42993690
RUNDC3A	17:44308412-44318670
RUNDC3A-AS1	17:44299573-44315315
RUNDC3B	7:87627547-87832296
RUNX1	21:34787800-36004667
RUNX1-IT1	21:35037930-35039426
RUNX1T1	8:91954966-92103286
RUNX2	6:45328156-45664349
RUNX3	1:24899510-24965121
RUSC1	1:155320893-155331114
RUSC1-AS1	1:155316862-155324176
RUSC2	9:35490110-35561898
RUSF1	16:31489471-31509309
RUVBL1-AS1	3:128075809-128079056
RUVBL2	19:48993561-49015970
RWDD1	6:116571408-116597675
RWDD2A	6:83193356-83198935
RWDD2B	21:29004383-29019360
RWDD3	1:95234209-95247225
RWDD4	4:183639634-183659203
RXFP1	4:158315310-158653372
RXFP2	13:31739525-31803389
RXFP3	5:33936385-33938918
RXFP4	1:155941637-155943087
RXRA	9:134317097-134440585
RXRG	1:165400921-165445355
RXYLT1	12:63779841-63809562
RXYLT1-AS1	12:63804738-63822156
RYBP	3:72371824-72446621
RYK	3:134065302-134250744
RYR1	19:38433690-38587564
RYR2	1:237042183-237833988
RYR3	15:33310944-33866121
RYR3-DT	15:33293568-33310659
S100A1	1:153627925-153632039
S100A10	1:151982914-151993859
S100A11	1:152032505-152047907
S100A12	1:153373710-153375621
S100A13	1:153618786-153631360
S100A14	1:153614254-153616986
S100A16	1:153606885-153613145
S100A2	1:153561107-153567890
S100A3	1:153547328-153549258
S100A4	1:153543612-153550136
S100A5	1:153537146-153541765
S100A6	1:153534598-153536244
S100A7	1:153457743-153460651
S100A7A	1:153416519-153423222
S100A8	1:153390031-153391073
S100A9	1:153357853-153361023
S100B	21:46598603-46605208
S100G	X:16650157-16654670
S100P	4:6693877-6697170
S100PBP	1:32816766-32858875
S100Z	5:76850000-76921650
S1PR1	1:101236864-101243713
S1PR2	19:10221432-10231331
S1PR3	9:88990862-89005155
S1PR4	19:3172345-3180332
S1PR5	19:10512741-10517931
SAA1	11:18266259-18269977
SAA2	11:18239222-18248668
SAA2-SAA4	11:18231422-18248635
SAA3P	11:18112471-18116132
SAA4	11:18231354-18236802
SAAL1	11:18069934-18106087
SAC3D1	11:65040900-65044828
SACM1L	3:45689055-45745409
SACS	13:23328825-23433740
SACS-AS1	13:23418970-23428869
SAE1	19:47113273-47210636
SAFB	19:5623034-5668478
SAFB2	19:5586998-5624046
SAG	2:233307815-233347055
SAGE1	X:135889204-135913061
SAGE2P	X:135673590-135686151
SALL1	16:51135974-51151367
SALL2	14:21521079-21537216
SALL3	18:78980274-79002677
SALL4	20:51782330-51802521
SALRNA1	14:60639215-60642589
SALRNA2	15:70635248-70637314
SALRNA3	15:70615546-70616567
SAMD1	19:14087850-14091036
SAMD10	20:63974115-63980008
SAMD11	1:923927-944581
SAMD12	8:118189454-118622112
SAMD12-AS1	8:118620497-118906155
SAMD13	1:84298365-84389957
SAMD14	17:50110039-50129882
SAMD15	14:77376688-77391497
SAMD3	6:130144314-130365425
SAMD4A	14:54566116-54793315
SAMD4B	19:39342395-39385710
SAMD5	6:147508689-147737547
SAMD7	3:169911571-169939175
SAMD8	10:75099585-75182123
SAMD9	7:93099512-93118023
SAMD9L	7:93130055-93148385
SAMHD1	20:36890228-36951843
SAMM50	22:43955441-44010531
SAMMSON	3:69999549-70518064
SAMSN1	21:14485227-14658821
SAMSN1-AS1	21:14582201-14598303
SAP130	2:127941216-128028120
SAP18	13:21140513-21149084
SAP25	7:100572227-100573900
SAP30	4:173369968-173377532
SAP30BP	17:75667250-75708062
SAP30L	5:154445996-154461053
SAP30L-AS1	5:154325567-154445850
SAPCD1-AS1	6:31764309-31765588
SAPCD2	9:137062126-137070557
SAR1A	10:70147288-70170523
SAR1B	5:134601148-134649271
SARAF	8:30063002-30083208
SARDH	9:133663559-133739955
SARM1	17:28364355-28404049
SARNP	12:55752462-55817724
SARS1	1:109213917-109238182
SART1	11:65961727-65980137
SART3	12:108522213-108561400
SASH1	6:148272303-148552048
SASH3	X:129779948-129795201
SASS6	1:100083562-100132955
SAT1	X:23783172-23786226
SAT2	17:7626233-7627876
SATB1	3:18345376-18445588
SATB1-AS1	3:18445023-18920401
SATB2	2:199269499-199471266
SATB2-AS1	2:199457699-199476935
SATL1	X:85092286-85243961
SAV1	14:50632057-50668306
SAXO1	9:18858905-19049358
SAXO2	15:82262809-82284930
SAYSD1	6:39104062-39115186
SBDS	7:66987679-66995587
SBDSP1	7:72829424-72836701
SBF1	22:50444999-50475035
SBF1P1	8:55449508-55455139
SBF2	11:9778666-10294207
SBF2-AS1	11:9758267-9811335
SBK1	16:28259245-28323849
SBK2	19:55528610-55537133
SBK3	19:55540655-55545543
SBNO1	12:123289108-123364847
SBNO1-AS1	12:123363867-123366113
SBNO2	19:1107636-1174268
SBSN	19:35523366-35528351
SBSPON	8:73064542-73124088
SC5D	11:121292680-121313410
SCAANT1	3:63911517-63911772
SCAF1	19:49642208-49658642
SCAF11	12:45919130-45992120
SCAF4	21:31670999-31732118
SCAF8	6:154733324-154834244
SCAI	9:124942607-125143528
SCAMP1	5:78360610-78480739
SCAMP1-AS1	5:78342364-78360507
SCAMP2	15:74843729-74873365
SCAMP4	19:1905371-1926013
SCAMP5	15:74957218-75021495
SCAND1	20:35953616-35959472
SCAND2P	15:84631450-84647478
SCAP	3:47413680-47477126
SCAPER	15:76347903-76905444
SCARA3	8:27633867-27676776
SCARA5	8:27869882-27992673
SCARB1	12:124776855-124882668
SCARB2	4:76158736-76234536
SCARF2	22:20424583-20437826
SCARNA1	1:27834400-27834566
SCARNA10	12:6510221-6510551
SCARNA11	12:6581473-6581609
SCARNA12	12:6967336-6967606
SCARNA13	14:95533354-95533629
SCARNA14	15:66347206-66347342
SCARNA15	15:82755944-82756071
SCARNA16	17:77089306-77089493
SCARNA17	18:49814132-49814276
SCARNA18	5:83064203-83064337
SCARNA18B	1:193057280-193057415
SCARNA2	1:109100192-109100612
SCARNA20	17:60231515-60231646
SCARNA21	17:7906121-7906260
SCARNA21B	1:15542164-15542304
SCARNA22	4:1974635-1974760
SCARNA23	X:24744440-24744570
SCARNA26A	1:155679107-155679255
SCARNA26B	1:155783684-155783832
SCARNA27	6:8086407-8086533
SCARNA28	7:98881696-98881890
SCARNA3	1:175968397-175968540
SCARNA4	1:155925957-155926085
SCARNA5	2:233275726-233276002
SCARNA6	2:233288675-233288940
SCARNA7	3:160514906-160515236
SCARNA8	9:19063655-19063786
SCARNA9	11:93721512-93721865
SCARNA9L	X:20136065-20136413
SCART1	10:133453927-133523558
SCAT1	17:78605232-78632155
SCAT2	12:54262614-54279063
SCAT8	6:63806835-63822642
SCCPDH	1:246724408-246768137
SCD	10:100347232-100364826
SCD5	4:82629538-82798796
SCEL	13:77535673-77645263
SCEL-AS1	13:77599754-77606551
SCFD1	14:30622310-30735850
SCFD2	4:52872981-53366066
SCG2	2:223596939-223602361
SCG3	15:51681491-51721026
SCG5	15:32641675-32697098
SCGB1A1	11:62405102-62423195
SCGB1B2P	19:34576732-34577701
SCGB1C1	11:193077-194575
SCGB1C2	17:137568-139067
SCGB1D1	11:62190215-62193539
SCGB1D2	11:62242238-62244812
SCGB1D4	11:62296280-62299075
SCGB2A1	11:62208672-62213943
SCGB2A2	11:62270157-62273160
SCGB2B2	19:34593328-34675699
SCGB2B3P	19:34645661-34646070
SCGB3A1	5:180590104-180591499
SCGB3A2	5:147870681-147882191
SCGN	6:25652200-25701783
SCHIP1	3:159839860-159897360
SCHLAP1	2:180692103-180916939
SCIMP	17:5208919-5234860
SCIN	7:12570576-12660182
SCLT1	4:128864920-129093600
SCLY	2:238060923-238099413
SCMH1	1:41027199-41242154
SCML1	X:17737448-17754988
SCML2	X:18239312-18354688
SCML4	6:107702153-107824317
SCN10A	3:38696801-38816286
SCN11A	3:38845766-39051941
SCN1A	2:165984640-166149214
SCN1A-AS1	2:165957187-166390771
SCN1B	19:35030469-35040449
SCN2A	2:165194992-165392310
SCN2B	11:118162805-118176639
SCN3A	2:165087521-165204067
SCN3B	11:123629186-123655244
SCN4A	17:63938553-63972918
SCN4B	11:118133376-118152888
SCN5A	3:38548056-38649687
SCN7A	2:166403572-166611482
SCN8A	12:51590265-51812864
SCN9A	2:166195184-166376001
SCNM1	1:151156663-151170296
SCNN1A	12:6346842-6377730
SCNN1B	16:23278230-23381294
SCNN1D	1:1280435-1292029
SCNN1G	16:23182744-23216883
SCO1	17:10672473-10698375
SCO2	22:50523567-50526461
SCOC	4:140257285-140385726
SCOC-AS1	4:140283723-140373403
SCP2	1:52927275-53051698
SCP2D1	20:18813782-18814378
SCP2D1-AS1	20:18809727-18830153
SCPEP1	17:56978128-57006768
SCRG1	4:173384700-173406380
SCRN1	7:29920103-29990289
SCRN2	17:47837691-47841289
SCRN3	2:174395729-174429575
SCRT1	8:144330564-144336482
SCRT2	20:661595-675802
SCT	11:626308-627181
SCTR	2:119439842-119525301
SCTR-AS1	2:119476428-119487346
SCUBE1	22:43197279-43343372
SCUBE1-AS1	22:43275955-43283830
SCUBE1-AS2	22:43212674-43213661
SCUBE2	11:9019497-9138114
SCUBE3	6:35213955-35253079
SCX	8:144266452-144268481
SCYL1	11:65525076-65538704
SCYL2	12:100267139-100341715
SCYL3	1:169849630-169894267
SDAD1	4:75940949-75990962
SDAD1-AS1	4:75980790-76005942
SDAD1P1	8:26375912-26382953
SDC1	2:20200796-20225433
SDC2	8:96493812-96611790
SDC3	1:30869465-30908758
SDC4	20:45325287-45348424
SDC4P	22:30481310-30481911
SDCBP	8:58552923-58582859
SDCBP2	20:1309908-1329139
SDCBP2-AS1	20:1325404-1378735
SDE2	1:225982701-225999343
SDF2	17:28648345-28662189
SDF2L1	22:21642301-21644299
SDF4	1:1216907-1232067
SDHA	5:218240-257082
SDHAF1	19:35995198-35996315
SDHAF2	11:61430041-61446733
SDHAF3	7:97117697-97181763
SDHAF4	6:70566916-70589569
SDHAP1	3:195959747-195990318
SDHAP2	3:195658095-195685904
SDHAP3	5:1567494-1594620
SDHB	1:17018721-17054032
SDHC	1:161314380-161371964
SDHD	11:112086823-112120016
SDK1	7:3301251-4269000
SDK2	17:73334383-73644445
SDR16C5	8:56300009-56320776
SDR16C6P	8:56373063-56395365
SDR39U1	14:24439765-24442905
SDR42E1	16:81988854-82011481
SDR42E2	16:22165582-22191754
SDR9C7	12:56923132-56934408
SDS	12:113392444-113426301
SDSL	12:113422379-113438276
SEBOX	17:28364267-28365244
SEC11A	15:84669537-84716460
SEC11C	18:59139865-59158832
SEC13	3:10293130-10321112
SEC14L1	17:77088748-77217101
SEC14L1P1	11:43897455-43899636
SEC14L2	22:30396940-30425303
SEC14L3	22:30447958-30472017
SEC14L4	22:30488901-30505711
SEC14L5	16:4958329-5019157
SEC14L6	22:30522798-30546682
SEC16A	9:136440095-136483759
SEC16B	1:177923955-177984303
SEC1P	19:48638070-48682245
SEC22A	3:123201926-123274136
SEC22B	1:120150897-120176520
SEC22B2P	1:149345660-149357612
SEC22B3P	1:148772639-148784594
SEC22C	3:42547968-42601080
SEC23A	14:39031918-39109646
SEC23A-AS1	14:39103139-39103812
SEC23B	20:18507519-18561415
SEC23IP	10:119892729-119944657
SEC24A	5:134648784-134727909
SEC24B	4:109433771-109540896
SEC24B-AS1	4:109347474-109433817
SEC24C	10:73744371-73772161
SEC24D	4:118722822-118838683
SEC31A	4:82818508-82901166
SEC31B	10:100486645-100519864
SEC61A1	3:128051640-128071683
SEC61A2	10:12129636-12169961
SEC61B	9:99222063-99230615
SEC61G	7:54752249-54759974
SEC61G-DT	7:54759348-54812727
SEC62	3:169966634-169998373
SEC63	6:107867755-107958208
SECISBP2	9:89318499-89359663
SECISBP2L	15:48988475-49046447
SECTM1	17:82321023-82334074
SEH1L	18:12947132-12987536
SEL1L	14:81471546-81533853
SEL1L2	20:13849246-13996443
SEL1L3	4:25747432-25863760
SELE	1:169722639-169764705
SELENBP1	1:151364303-151372707
SELENOF	1:86862444-86914424
SELENOH	11:57741249-57743554
SELENOI	2:26308546-26395891
SELENOK	3:53884416-53891962
SELENOKP3	6:118757517-118783420
SELENOM	22:31104771-31120069
SELENON	1:25800175-25818221
SELENOO	22:50200978-50217616
SELENOP	5:42799879-42887392
SELENOS	15:101270816-101277500
SELENOT	3:150602874-150630445
SELENOV	19:39515112-39520686
SELENOW	19:47778584-47784686
SELL	1:169690664-169711702
SELP	1:169588848-169630193
SELPLG	12:108622276-108633959
SEM1	7:96481625-96709891
SEMA3A	7:83955776-84492724
SEMA3B	3:50267557-50277546
SEMA3B-AS1	3:50266640-50267371
SEMA3C	7:80742537-80922359
SEMA3D	7:84995552-85186855
SEMA3E	7:83363237-83649139
SEMA3F	3:50155044-50189075
SEMA3F-AS1	3:50116021-50156085
SEMA3G	3:52433034-52445103
SEMA4A	1:156147365-156177752
SEMA4B	15:90160603-90229679
SEMA4C	2:96859717-96870757
SEMA4D	9:89360786-89498130
SEMA4F	2:74654227-74683853
SEMA4G	10:100969517-100985871
SEMA5A	5:9035032-9546075
SEMA5A-AS1	5:9511332-9518086
SEMA5B	3:122909081-123028605
SEMA6A	5:116443615-116574934
SEMA6A-AS1	5:116447546-116508276
SEMA6A-AS2	5:116574481-116611200
SEMA6B	19:4542592-4559684
SEMA6C	1:151131684-151146664
SEMA6D	15:47184100-47774228
SEMA7A	15:74409288-74433958
SEMG1	20:45207032-45209768
SEMG2	20:45221372-45224458
SENCR	11:128691671-128696023
SENP1	12:48042896-48106079
SENP2	3:185582495-185633551
SENP3	17:7561918-7571969
SENP3-EIF4A1	17:7563286-7578715
SENP5	3:196867855-196934714
SENP6	6:75601508-75718281
SENP7	3:101324204-101513241
SENP8	15:72114257-72143692
SEPHS1	10:13317427-13348298
SEPHS2	16:30443630-30445874
SEPSECS	4:25120013-25160449
SEPSECS-AS1	4:25160640-25201440
SEPT5-GP1BB	22:19717219-19724774
SEPTIN1	16:30378132-30395991
SEPTIN10	2:109542798-109614143
SEPTIN11	4:76949702-77040384
SEPTIN12	16:4777605-4788398
SEPTIN14	7:55793539-55862755
SEPTIN2	2:241315099-241354027
SEPTIN3	22:41969474-41998221
SEPTIN4	17:58520249-58544368
SEPTIN4-AS1	17:58519836-58557799
SEPTIN5	22:19714502-19724224
SEPTIN6	X:119615723-119693370
SEPTIN7	7:35800931-35907105
SEPTIN7-DT	7:35751855-35800676
SEPTIN7P11	11:50279828-50298452
SEPTIN7P13	1:223992743-224010612
SEPTIN7P14	4:119454791-119552025
SEPTIN7P2	7:45723779-45768985
SEPTIN7P9	10:38383068-38402916
SEPTIN8	5:132750818-132807241
SEPTIN9	17:77280568-77500596
SERAC1	6:158109518-158168280
SERBP1	1:67407809-67430415
SERF2	15:43777086-43804427
SERF2-C15ORF63	15:43791975-43802571
SERGEF	11:17788047-18013047
SERHL	22:42500567-42512560
SERHL2	22:42553616-42574382
SERINC1	6:122443350-122471807
SERINC2	1:31409564-31434680
SERINC3	20:44496220-44522085
SERINC4	15:43794161-43800221
SERINC5	5:80111650-80256048
SERP1	3:150541997-150603228
SERP2	13:44373664-44397714
SERPINA10	14:94280459-94293268
SERPINA11	14:94442463-94452800
SERPINA12	14:94487273-94517844
SERPINA13P	14:94640724-94646994
SERPINA2	14:94364312-94366698
SERPINA3	14:94612383-94624055
SERPINA4	14:94561441-94569913
SERPINA5	14:94561441-94593118
SERPINA6	14:94304247-94323389
SERPINA7	X:106032434-106038727
SERPINA9	14:94462716-94479689
SERPINB1	6:2832331-2841959
SERPINB10	18:63897173-63936111
SERPINB11	18:63647578-63726432
SERPINB12	18:63556159-63567011
SERPINB13	18:63586988-63604639
SERPINB2	18:63871691-63903888
SERPINB3	18:63655196-63661893
SERPINB4	18:63637258-63644256
SERPINB5	18:63476957-63505085
SERPINB6	6:2948158-2972165
SERPINB7	18:63752934-63805376
SERPINB8	18:63970028-64019779
SERPINB9	6:2887269-2903309
SERPINB9P1	6:2851229-2881407
SERPINC1	1:173903803-173917378
SERPIND1	22:20774112-20787720
SERPINE1	7:101127103-101139247
SERPINE2	2:223975044-224039318
SERPINE3	13:51335772-51364735
SERPINF1	17:1762028-1777565
SERPING1	11:57597386-57614848
SERPINH1	11:75562055-75572783
SERPINI1	3:167735242-167825568
SERPINI2	3:167441788-167479004
